2023-04-18T11:27:39.839+05:00  INFO 4572 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8081 (http) with context path ''
2023-04-18T11:27:39.840+05:00  INFO 4572 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8081
2023-04-18T11:27:39.860+05:00  INFO 4572 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_PRODUCT-MANAGEMENT-SERVICE/DESKTOP-BN5T0OQ:product-management-service:8081 - registration status: 204
2023-04-18T11:27:39.880+05:00  INFO 4572 --- [main] .e.p.ProductManagementServiceApplication : Started ProductManagementServiceApplication in 5.302 seconds (process running for 5.789)
2023-04-18T11:32:39.553+05:00  INFO 4572 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-04-18T11:33:43.641+05:00  INFO 4572 --- [http-nio-8081-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-18T11:33:43.641+05:00  INFO 4572 --- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-04-18T11:33:43.642+05:00  INFO 4572 --- [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2023-04-18T11:33:43.689+05:00  INFO 4572 --- [http-nio-8081-exec-2] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:33:43.736+05:00  INFO 4572 --- [http-nio-8081-exec-2] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:35:07.543+05:00  INFO 4572 --- [http-nio-8081-exec-4] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:35:07.638+05:00  INFO 4572 --- [http-nio-8081-exec-4] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:35:16.959+05:00  INFO 4572 --- [http-nio-8081-exec-5] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:35:16.962+05:00  INFO 4572 --- [http-nio-8081-exec-5] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:35:21.305+05:00  INFO 4572 --- [http-nio-8081-exec-6] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:35:21.308+05:00  INFO 4572 --- [http-nio-8081-exec-6] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:35:24.698+05:00  INFO 4572 --- [http-nio-8081-exec-7] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:35:24.702+05:00  INFO 4572 --- [http-nio-8081-exec-7] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:35:29.775+05:00  INFO 4572 --- [http-nio-8081-exec-8] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:35:29.777+05:00  INFO 4572 --- [http-nio-8081-exec-8] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:35:57.630+05:00  INFO 4572 --- [http-nio-8081-exec-9] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:35:57.635+05:00  INFO 4572 --- [http-nio-8081-exec-9] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:36:42.905+05:00  INFO 4572 --- [http-nio-8081-exec-1] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:42.906+05:00  INFO 4572 --- [http-nio-8081-exec-1] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:43.548+05:00  INFO 4572 --- [http-nio-8081-exec-2] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:43.549+05:00  INFO 4572 --- [http-nio-8081-exec-2] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:44.143+05:00  INFO 4572 --- [http-nio-8081-exec-3] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:44.144+05:00  INFO 4572 --- [http-nio-8081-exec-3] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:44.743+05:00  INFO 4572 --- [http-nio-8081-exec-4] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:44.744+05:00  INFO 4572 --- [http-nio-8081-exec-4] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:45.339+05:00  INFO 4572 --- [http-nio-8081-exec-5] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:45.340+05:00  INFO 4572 --- [http-nio-8081-exec-5] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:45.939+05:00  INFO 4572 --- [http-nio-8081-exec-6] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:45.941+05:00  INFO 4572 --- [http-nio-8081-exec-6] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:46.518+05:00  INFO 4572 --- [http-nio-8081-exec-7] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:46.519+05:00  INFO 4572 --- [http-nio-8081-exec-7] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:47.079+05:00  INFO 4572 --- [http-nio-8081-exec-8] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:47.080+05:00  INFO 4572 --- [http-nio-8081-exec-8] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:47.670+05:00  INFO 4572 --- [http-nio-8081-exec-9] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:47.671+05:00  INFO 4572 --- [http-nio-8081-exec-9] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:48.223+05:00  INFO 4572 --- [http-nio-8081-exec-10] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:48.224+05:00  INFO 4572 --- [http-nio-8081-exec-10] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:48.831+05:00  INFO 4572 --- [http-nio-8081-exec-1] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:48.832+05:00  INFO 4572 --- [http-nio-8081-exec-1] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:49.425+05:00  INFO 4572 --- [http-nio-8081-exec-2] c.e.p.Service.ProductManagementService   : ADDING NEW PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:49.426+05:00  INFO 4572 --- [http-nio-8081-exec-2] c.e.p.Service.ProductManagementService   : SUCCESSFULLY ADDED PRODUCT WITH NAME Lenovo Yoga Slim 7i
2023-04-18T11:36:50.758+05:00  INFO 4572 --- [http-nio-8081-exec-3] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:36:50.770+05:00  INFO 4572 --- [http-nio-8081-exec-3] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:36:53.175+05:00  INFO 4572 --- [http-nio-8081-exec-4] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:36:53.182+05:00  INFO 4572 --- [http-nio-8081-exec-4] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:37:08.420+05:00  INFO 4572 --- [http-nio-8081-exec-5] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:37:08.427+05:00  INFO 4572 --- [http-nio-8081-exec-5] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:37:39.556+05:00  INFO 4572 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2023-04-18T11:38:06.032+05:00  INFO 4572 --- [http-nio-8081-exec-7] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:38:06.039+05:00  INFO 4572 --- [http-nio-8081-exec-7] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:38:14.338+05:00  INFO 4572 --- [http-nio-8081-exec-8] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:38:14.344+05:00  INFO 4572 --- [http-nio-8081-exec-8] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:38:21.693+05:00  INFO 4572 --- [http-nio-8081-exec-9] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:38:21.701+05:00  INFO 4572 --- [http-nio-8081-exec-9] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:38:35.047+05:00  INFO 4572 --- [http-nio-8081-exec-10] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:38:35.054+05:00  INFO 4572 --- [http-nio-8081-exec-10] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:39:59.490+05:00  INFO 4572 --- [http-nio-8081-exec-2] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:39:59.496+05:00  INFO 4572 --- [http-nio-8081-exec-2] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:40:12.661+05:00  INFO 4572 --- [http-nio-8081-exec-3] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:40:12.669+05:00  INFO 4572 --- [http-nio-8081-exec-3] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:40:26.692+05:00  INFO 4572 --- [http-nio-8081-exec-4] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:40:26.699+05:00  INFO 4572 --- [http-nio-8081-exec-4] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:40:42.306+05:00  INFO 4572 --- [http-nio-8081-exec-5] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:40:42.311+05:00  INFO 4572 --- [http-nio-8081-exec-5] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
2023-04-18T11:40:48.840+05:00  INFO 4572 --- [http-nio-8081-exec-6] c.e.p.Service.ProductManagementService   : GETTING ALL PRODUCTS
2023-04-18T11:40:48.846+05:00  INFO 4572 --- [http-nio-8081-exec-6] c.e.p.Service.ProductManagementService   : SUCCESSFULLY RETRIEVED PRODUCTS
